,bad-tickers
974,1NV-F
975,2FW-F
976,2GY-F
977,3FNA-F
978,5NE-F
979,5Q4-F
980,642-F
981,64W-F
982,73Z-F
983,7J00-F
984,7RD-F
985,7TJ0-F
986,7XC-F
987,8XA-F
988,9S6-F
989,A230-F
990,AKOA-F
991,B3M-F
992,BBD-F
993,ERV2-F
994,GU80-F
995,HA4-F
996,HF6-F
997,HFG0-F
998,KE0A-F
999,L01-F
1000,L7C2-F
1001,LA6S-F
1002,LMU1-F
1003,LQAG-F
1004,NGLD-F
1005,NMB-F
1006,O4H-F
1007,O4P-F
1008,P15-F
1009,P66-F
1010,PFR-F
1011,PUX-F
1012,Q9R-F
1013,RHRD-F
1014,S2L-F
1015,SR5-F
1016,TMRA-F
1017,UDW-F
1018,WHX-F
1019,WI20-F
1020,WRC-F
1021,Z25-F
1022,XPBRA-MC
1023,CWIEMMKL-CO
1024,DKIGIADKKH-CO
1025,PMIAAN-CO
1026,SPVBEUKL-CO
1027,SSIGEHYEURR-CO
1028,WEIOS-CO
1029,WEISSA-CO
1030,MNDRK-ST
1031,UCL-USE
1032,USL-DSE
1033,YETU-DSE
1034,CCRS-EGX
1035,DAPH-EGX
1036,GOCO-EGX
1037,EKOCORP-XNSA
1038,GREENWETF-XNSA
1039,EGH-GSE
1040,NICO-MSE
1041,UBS-SEM
1042,154030-KO
1043,256840-KO
1044,383310-KO
1045,900310-KO
1046,004985-KQ
1047,007815-KQ
1048,009270-KQ
1049,017180-KQ
1050,023530-KQ
1051,034120-KQ
1052,KSOFT-BUD
1053,PIT-WAR
1054,BECO-KAR
1055,BNL-KAR
1056,DEL-KAR
1057,FEM-KAR
1058,P01GIS091224-KAR
1059,UBDL-KAR
1060,UBLPETF-KAR
1061,NAYZ-JK
1062,RAAM-JK
1063,301397-SHE
1064,IEL-NSE
1065,SD6-VN
1066,SRA-VN
1067,TPP-VN
1068,VHE-VN
1069,RIVP-ZSE
1070,2888A-TW
1071,OBASE-IS
1072,AEON-WT-US
1073,BUXX-US
1074,CNLK-US
1075,DMNB-US
1076,GLNK-US
1077,NMKCP-US
1078,RBNK-US
1079,RSRUS-US
1080,SAMT-US
1081,VGRDF-US
1082,LBS-LSE
1083,GWO-PY-TO
1084,ADJ-P-V
1085,EGR-V
1086,4G1-BE
1087,A77-BE
1088,FLN-BE
1089,GQ8-BE
1090,IDD-BE
1091,M7U-BE
1092,MGT-BE
1093,PU8-BE
1094,XDH-BE
1095,YBB-BE
1096,GBQ-HM
1097,RTC-HM
1098,SOH1-XETRA
1099,ARO-DU
1100,JMT2-DU
1101,Q11-DU
1102,RCF-DU
1103,H6D0-HA
1104,AC8-MU
1105,SEW-MU
1106,U1P-MU
1107,36L-STU
1108,3LQ-STU
1109,CHN-STU
1110,CTI-STU
1111,CUV-STU
1112,DKOB-STU
1113,MY4-STU
1114,RIOA-STU
1115,TYU2-STU
1116,00B-F
1117,0ZM-F
1118,1CA0-F
1119,2Y1-F
1120,38E-F
1121,4A6-F
1122,52J-F
1123,57U0-F
1124,59V-F
1125,5IE-F
1126,5O7-F
1127,5UU1-F
1128,6QP-F
1129,6VZ-F
1130,74O-F
1131,7YB-F
1132,7ZV-F
1133,8CD1-F
1134,AT9-F
1135,BBW0-F
1136,CF9-F
1137,CW0-F
1138,D60-F
1139,E7V0-F
1140,GO4-F
1141,H6H-F
1142,I970-F
1143,JBG-F
1144,M4I0-F
1145,M5Q-F
1146,OMY-F
1147,PP7-F
1148,S86-F
1149,TN7-F
1150,WRG-F
1151,X0S-F
1152,Y2Z-F
1153,GREEN-SW
1154,BAIBDA-CO
1155,BAIEUAAUAA-CO
1156,MAJGO-CO
1157,NDIDKKL1-CO
1158,SYIGEAADKK-CO
1159,MBSC-EGX
1160,ORWE-EGX
1161,UACN-XNSA
1162,ICON-MSE
1163,KCB-XNAI
1164,099390-KO
1165,187660-KO
1166,228670-KO
1167,313760-KO
1168,351330-KO
1169,370090-KO
1170,012800-KQ
1171,362320-KQ
1172,COMMB-BUD
1173,HMP-WAR
1174,LPC-PSE
1175,CWSM-KAR
1176,GRR-KAR
1177,SFL-KAR
1178,UNIC-KAR
1179,CRSN-JK
1180,MPIX-JK
1181,301488-SHE
1182,JUNIPER-NSE
1183,688152-SHG
1184,688352-SHG
1185,HUNTN0000-CM
1186,KOTAN0000-CM
1187,RGEMN0000-CM
1188,HUB-VN
1189,KSQ-VN
1190,NDN-VN
1191,PTS-VN
1192,VC1-VN
1193,CRC-RO
1194,ELV-RO
1195,4771-TWO
1196,SURGY-IS
1197,AGGH-US
1198,ANTI-US
1199,ARHAS-US
1200,BSSC-US
1201,ITDI-US
1202,ITRE-US
1203,PSFE-WT-US
1204,UPLL-LSE
1205,AMYA-P-V
1206,0YC-BE
1207,C5E-BE
1208,DMB-BE
1209,H2Y-BE
1210,J2E-BE
1211,JI5-BE
1212,N8C-BE
